774,18625
774,297472
2838,1078
2838,1693
2838,1855
2838,4181
2838,5114
2838,7589
2838,9585
2838,20787
2838,1319753
895,1702
895,1790
895,2310
895,4014
895,5911
895,15368
895,16401
895,23313
895,36413
3190,895
3190,1078
3190,1884
3190,5114
3190,6391
3190,23313
3190,24454
3190,34010
14638,70
14638,601
14638,1131
14638,1334
14638,2475
14638,2903
14638,3530
14638,4653
14638,4844
14638,6806
14638,8704
14638,9785
14638,10193
14638,11151
14638,13976
14638,14324
14638,15702
14638,62025
14638,155590
14638,430006
14638,1248928
50,196
50,1499
50,1629
50,2232
50,2732
50,3846
50,5076
50,5644
50,6730
50,10313
50,65998
50,166516
1334,70
1334,601
1334,774
1334,1214
1334,1566
1334,2903
1334,3530
1334,4653
1334,5004
1334,6806
1334,11151
1334,13976
1334,14150
1334,14638
1334,71354
9720,72818
2607,28
2607,59
2607,1186
2607,1435
2607,1499
2607,2803
2607,3846
2607,3948
2607,8384
2607,10963
2607,14324
2607,30683
8123,59
8123,774
8123,1499
8123,1742
8123,2982
8123,3652
8123,5644
8123,5761
8123,6302
8123,7221
8123,10156
8123,29560
8123,45674
3530,61
3530,601
3530,1334
3530,1566
3530,2903
3530,11151
3530,13976
3530,14638
3530,79262
3530,2076753
28,32
28,50
28,1499
28,1815
28,1854
28,2523
28,2957
28,3948
28,4403
28,5076
28,5114
28,5761
28,5996
28,6184
28,6965
28,12163
28,12565
28,13601
28,22037
28,45581
28,65398
10963,939
10963,1186
10963,2607
10963,2803
10963,3846
10963,3948
10963,5114
10963,5761
10963,6039
10963,6896
10963,7221
10963,8123
10963,8384
10963,9938
10963,10075
10963,10508
10963,14324
10963,22814
10963,29560
10963,30683
10963,45674
10963,48291
5706,692
5706,1499
5706,2053
5706,2232
5706,5761
3070,466
3070,606
3070,1078
3070,1855
3070,4797
3070,5114
3070,5761
3070,6652
3070,8153
3070,13250
3070,19778
3070,20787
3070,36413
3070,56304
3070,105718
1619,11775
1619,11934
1619,37547
163,1499
163,2957
163,2982
163,3948
163,4957
163,5114
163,9938
163,29560
466,1078
466,2928
466,4914
466,5726
466,5761
466,6652
466,10379
466,10404
466,41555
466,394287
466,978721
2475,2310
2475,10026
2475,10569
2475,14638
2475,35489
2475,874379
4914,59
4914,466
4914,1499
4914,1855
4914,2957
4914,3190
4914,3347
4914,5761
4914,5778
4914,6806
4914,14900
4914,22227
4914,74382
4914,172054
4914,297472
1214,70
1214,774
1214,1131
1214,1334
1214,1566
1214,2903
1214,4653
1214,9785
1214,14638
1214,30683
1214,79262
1214,125284
1214,430006
1214,978721
1214,1248928
8273,2523
8273,6519
8273,6965
8273,8384
8273,8588
8273,12163
8273,13601
2957,1693
2957,1815
2957,3347
2957,4403
2957,4914
2957,4957
2957,5114
2957,7079
2957,7160
2957,8324
2957,10156
2957,10200
2957,12163
2957,14702
2957,15046
2957,22814
2957,45674
2957,105718
2957,978721
2957,1248928
5114,82
5114,100
5114,692
5114,1333
5114,1854
5114,2838
5114,4403
5114,4933
5114,5761
5114,5996
5114,6184
5114,6202
5114,6331
5114,6652
5114,6674
5114,7589
5114,8348
5114,8495
5114,8887
5114,12565
5114,13250
5114,15046
5114,16401
5114,19778
5114,45581
5114,65398
5114,179017
5114,430006
3652,774
3652,1742
3652,6302
3652,125284
601,1131
601,1214
601,1334
601,1566
601,2645
601,2903
601,3530
601,4653
601,4844
601,13539
601,13976
601,22312
601,123635
601,1248928
601,2230740
2803,28
2803,1281
2803,1854
2803,2607
2803,4403
2803,5114
2803,5761
2803,5996
2803,6184
2803,6965
2803,7221
2803,8123
2803,10508
2803,10963
2803,12163
2803,12565
2803,14324
2803,24401
2803,29560
2803,30683
2803,45674
59,82
59,100
59,606
59,1078
59,1855
59,2957
59,3070
59,4181
59,4790
59,5114
59,5761
59,6652
59,6806
59,8153
59,13250
59,14638
59,20226
59,34694
59,36413
59,105718
59,1407145
82,606
82,692
82,1078
82,4181
82,5114
82,6331
82,6346
82,8887
82,9202
82,16401
82,19778
82,105718
82,179017
2903,1079
2903,1334
2903,1566
2903,2970
2903,6856
2903,15462
2903,15779
1790,20244
100,59
100,1207
100,1288
100,1815
100,2053
100,2758
100,2957
100,4304
100,4403
100,4957
100,5114
100,6792
100,7079
100,7160
100,7221
100,8324
100,10156
100,10447
100,12163
100,13194
100,14702
100,15046
100,20244
100,22814
100,45674
100,51523
100,58974
5004,601
5004,1131
5004,1334
5004,2903
5004,4844
5004,8704
5004,9785
5004,13539
5004,13976
5004,14638
9785,601
9785,1131
9785,1214
9785,4844
9785,6806
9785,14638
9785,15702
9785,34295
9785,850626
13250,1078
13250,1855
13250,3070
13250,5114
13250,5761
13250,6652
13250,6806
13250,11984
13250,19778
13250,32265
13250,34694
13250,56304
13250,67854
1435,100
1435,56304
1499,1288
1499,1614
1499,2732
1499,4587
1499,5483
1499,5761
1499,7079
1499,8384
1499,14778
1499,22037
1078,1855
1078,3070
1078,4181
1078,5114
1078,6652
1078,6806
1078,13250
1078,19778
1078,105718
9938,59
9938,100
9938,939
9938,1499
9938,1629
9938,2053
9938,2758
9938,5114
9938,5706
9938,7221
9938,8384
9938,29560
9938,907794
1111,2310
6391,59
6391,1512
6391,5114
6391,8273
6391,10963
2758,35
2758,196
2758,939
2758,6944
2758,6955
2758,27995
6302,774
6302,1742
692,100
692,939
692,1411
692,1693
692,2053
692,7589
692,10963
692,20458
692,23540
692,181066
606,1855
606,3070
606,5114
606,6331
606,8153
606,8887
606,16401
606,17178
606,179017
948,95
948,5939
948,15238
948,20868
948,69196
948,541492
948,978721
11984,1078
11984,5758
11984,10819
1281,774
1281,1499
1281,1742
1281,3652
1281,4957
1281,5644
1281,5761
1281,6302
1281,14324
1281,30683
4825,7020
4957,900
4957,1414
4957,1815
4957,4403
4957,5114
4957,7079
4957,7160
4957,8324
4957,12163
4957,13601
1186,28
1186,163
1186,1499
1186,1815
1186,1854
1186,2523
1186,2607
1186,2803
1186,2957
1186,3846
1186,3948
1186,4403
1186,5114
1186,5761
1186,5996
1186,6184
1186,6965
1186,9938
1186,10963
1186,12163
1186,12565
1186,15894
1186,29560
6636,1854
6636,4403
6636,4933
6636,6202
6636,8348
6636,10355
6636,19951
1855,82
1855,1078
1855,5761
1855,6331
1855,8153
1855,19778
1855,20298
1855,20314
1855,20787
1855,34010
6519,196
6519,1333
6519,4403
6519,4618
6519,4933
6519,5114
6519,5706
6519,5996
6519,6792
6519,6965
6519,7954
6519,8495
6519,9274
6519,10435
6519,11474
6519,12565
6519,14698
6519,14702
6519,15046
6519,65398
2523,100
2523,1288
2523,1614
2523,1815
2523,1854
2523,2957
2523,4403
2523,4957
2523,5114
2523,5761
2523,5996
2523,6184
2523,6202
2523,6519
2523,6674
2523,6792
2523,6965
2523,7160
2523,7221
2523,7954
2523,8348
2523,8495
2523,9274
2523,10062
2523,10156
2523,10435
2523,12163
2523,12565
2523,13601
2523,14702
2523,15046
2523,22814
2523,45581
2523,45674
2523,65398
6202,1333
6202,4618
6202,4933
6202,6519
6202,6674
6202,7954
6202,8348
6202,8495
6202,14698
6202,15046
4403,1333
4403,1414
4403,1854
4403,4618
4403,4933
4403,5114
4403,6202
4403,6519
4403,6674
4403,7954
4403,8324
4403,8348
4403,8495
4403,12565
4403,13601
4403,15046
4403,45581
4403,65398
12163,1414
12163,1815
12163,1854
12163,2957
12163,4403
12163,5114
12163,5996
12163,6184
12163,6202
12163,6519
12163,6674
12163,6792
12163,6965
12163,7160
12163,8324
12163,8348
12163,8495
12163,9274
12163,10435
12163,12565
12163,13601
12163,15046
12163,45581
12163,65398
5076,1186
5076,9938
1248928,1214
1248928,1334
1248928,2645
1248928,13976
